Plant_ID,Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days
1,03-08-2023,33.4,53,582,6.4,1
1,04-08-2023,33.5,53,451,6.1,2
1,05-08-2023,33.4,59,678,6.4,3
1,06-08-2023,33.4,68,420,6.4,4
1,07-08-2023,33.4,74,637,6.5,5
1,08-08-2023,32.3,77,478,6.8,6
1,09-08-2023,32.3,75,682,6,7
1,10-08-2023,22.7,63,576,6.3,8
1,11-08-2023,31.9,69,662,6.1,9
1,12-08-2023,30.2,59,607,6.2,10
1,13-08-2023,30.1,77,670,6.5,11
1,14-08-2023,30.1,54,535,6.4,12
1,15-08-2023,30.1,78,480,6,13
1,16-08-2023,29.8,56,688,6.4,14
1,17-08-2023,29.6,62,653,6.6,15
1,18-08-2023,30.9,70,742,6.1,16
1,19-08-2023,30.8,57,580,6.2,17
1,20-08-2023,30.9,78,789,6.5,18
1,21-08-2023,30.2,63,516,6,19
1,22-08-2023,30.5,51,527,6.4,20
1,23-08-2023,30.8,57,669,6.2,21
1,24-08-2023,31.3,73,645,6.6,22
1,25-08-2023,31.4,52,744,6.8,23
1,26-08-2023,31.4,61,719,6.4,24
1,27-08-2023,30.1,77,589,6.7,25
1,28-08-2023,29.4,71,654,6.4,26
1,29-08-2023,28.7,64,451,6.4,27
1,30-08-2023,29.1,51,623,6.6,28
1,31-08-2023,29.2,55,680,6.7,29
1,01-09-2023,31.7,50,601,6.4,30
1,02-09-2023,31.7,52,603,6.7,31
1,03-09-2023,31.7,76,762,6.7,32
1,04-09-2023,31.7,55,517,6,33
1,05-09-2023,32,55,743,6.6,34
1,06-09-2023,32.1,76,709,6,35
1,07-09-2023,31.5,68,416,6.2,36
1,08-09-2023,29.8,68,577,6.3,37
1,09-09-2023,20.1,61,621,6.5,38
1,10-09-2023,31.1,64,478,6,39
1,11-09-2023,31.2,79,672,6.3,40
1,12-09-2023,31.2,62,576,6.7,41
1,13-09-2023,30.4,57,726,6.1,42
1,14-09-2023,29.1,75,636,6.8,43
1,15-09-2023,30.6,55,688,6.6,44
1,16-09-2023,31.5,68,637,6.2,45
2,03-08-2023,33.4,74,586,6.1,1
2,04-08-2023,33.5,65,433,6.8,2
2,05-08-2023,33.4,55,749,6.7,3
2,06-08-2023,33.4,68,680,6.8,4
2,07-08-2023,33.4,50,488,6.4,5
2,08-08-2023,32.3,78,697,6.3,6
2,09-08-2023,32.3,77,624,6.6,7
2,10-08-2023,22.7,57,593,6.5,8
2,11-08-2023,31.9,73,564,6.1,9
2,12-08-2023,30.2,65,416,6.6,10
2,13-08-2023,30.1,71,664,6.4,11
2,14-08-2023,30.1,65,746,6.8,12
2,15-08-2023,30.1,75,646,6.3,13
2,16-08-2023,29.8,58,413,6.5,14
2,17-08-2023,29.6,50,487,6.7,15
2,18-08-2023,30.9,79,564,6.2,16
2,19-08-2023,30.8,56,430,6.5,17
2,20-08-2023,30.9,71,527,6.2,18
2,21-08-2023,30.2,51,704,6.3,19
2,22-08-2023,30.5,62,732,6.3,20
2,23-08-2023,30.8,69,420,6.5,21
2,24-08-2023,31.3,54,608,6.3,22
2,25-08-2023,31.4,58,687,6.3,23
2,26-08-2023,31.4,64,529,6.2,24
2,27-08-2023,30.1,78,427,6.3,25
2,28-08-2023,29.4,57,780,6.4,26
2,29-08-2023,28.7,57,508,6.2,27
2,30-08-2023,29.1,58,603,6.6,28
2,31-08-2023,29.2,56,581,6.7,29
2,01-09-2023,31.7,56,622,6.4,30
2,02-09-2023,31.7,73,598,6.5,31
2,03-09-2023,31.7,57,597,6.2,32
2,04-09-2023,31.7,61,498,6,33
2,05-09-2023,32,63,569,6.4,34
2,06-09-2023,32.1,75,697,6.3,35
2,07-09-2023,31.5,77,627,6.6,36
2,08-09-2023,29.8,61,537,6.6,37
2,09-09-2023,20.1,63,785,6.3,38
2,10-09-2023,31.1,70,428,6.7,39
2,11-09-2023,31.2,56,797,6.8,40
2,12-09-2023,31.2,66,657,6.8,41
2,13-09-2023,30.4,75,473,6.6,42
2,14-09-2023,29.1,72,689,6.3,43
2,15-09-2023,30.6,52,681,6.3,44
2,16-09-2023,31.5,79,719,6.7,45
3,03-08-2023,33.4,51,667,6.2,1
3,04-08-2023,33.5,63,632,6.1,2
3,05-08-2023,33.4,65,636,6.7,3
3,06-08-2023,33.4,62,525,6.6,4
3,07-08-2023,33.4,65,735,6,5
3,08-08-2023,32.3,80,794,6.4,6
3,09-08-2023,32.3,80,691,6.2,7
3,10-08-2023,22.7,65,783,6.6,8
3,11-08-2023,31.9,62,531,6.7,9
3,12-08-2023,30.2,69,473,6.4,10
3,13-08-2023,30.1,55,745,6.1,11
3,14-08-2023,30.1,80,569,6.3,12
3,15-08-2023,30.1,63,743,6.3,13
3,16-08-2023,29.8,69,566,6.1,14
3,17-08-2023,29.6,53,671,6.6,15
3,18-08-2023,30.9,58,643,6.4,16
3,19-08-2023,30.8,67,682,6.6,17
3,20-08-2023,30.9,79,467,6.3,18
3,21-08-2023,30.2,58,714,6.7,19
3,22-08-2023,30.5,80,726,6.6,20
3,23-08-2023,30.8,79,780,6.1,21
3,24-08-2023,31.3,55,545,6.4,22
3,25-08-2023,31.4,74,630,6.6,23
3,26-08-2023,31.4,53,491,6.4,24
3,27-08-2023,30.1,80,661,6.7,25
3,28-08-2023,29.4,75,535,6.1,26
3,29-08-2023,28.7,73,629,6.6,27
3,30-08-2023,29.1,73,738,6.6,28
3,31-08-2023,29.2,69,758,6.2,29
3,01-09-2023,31.7,76,799,6.3,30
